title,stock,genre,creator,first air date,last air date,total seasons,total episodes,status,episode runtime,production company,production country,networks,image path,description,keywords
Avatar: The Last Airbender (2024),Master your element.,"Sci-Fi & Fantasy, Action & Adventure, Drama",unknown,2024-02-22,2024-02-22,3,8,Returning Series,unknown,Nickelodeon Productions,United States of America,Netflix,https://image.tmdb.org/t/p/w185/lzZpWEaqzP0qVA5nkCc5ASbNcSy.jpg,A young boy known as the Avatar must master the four elemental powers to save a world at war — and fight a ruthless enemy bent on stopping him.,"saving the world, monk, child hero, reincarnation, based on cartoon, live action remake"
Bandidos (2024),A Mayan treasure never seen before... until now.,Action & Adventure,unknown,2024-03-13,2024-03-13,1,7,Returning Series,unknown,unknown,unknown,Netflix,https://image.tmdb.org/t/p/w185/hoM8DvKJw5KPfdHbcITxn0rO2HZ.jpg,"A gang of skilled misfits ventures to uncover a long-hidden Mayan treasure. Their strategy? Hazy. Their dynamic? Off. Luckily, they're pretty ingenious.","sunken treasure, spanish, gold treasure"
Lucifer (2016),It's good to be bad.,"Crime, Sci-Fi & Fantasy",Tom Kapinos,2016-01-25,2021-09-10,6,93,Ended,45 min.,Warner Bros. Television,United States of America,"FOX, Netflix",https://image.tmdb.org/t/p/w185/ekZobS8isE6mA53RAiGDG93hBxL.jpg,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.","based on comic, los angeles, california, devil, lapd"
Young Royals (2021),unknown,Drama,"Lars Beckung, Lisa Ambjörn, Camilla Holter",2021-07-01,2024-03-18,3,18,Ended,45 min.,Nexiko AB,Sweden,Netflix,https://image.tmdb.org/t/p/w185/uGGAoM8ojRHOXj16n6xWiccKr34.jpg,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.","sweden, coming out, royal family, attention deficit hyperactivity disorder (adhd), friendship, boarding school, romance, royalty, coming of age, social life, lgbt, lgbt teen, rowing, social media, asperger's syndrome, teen drama, gay theme, teen romance, anxiety, boys' love (bl)"
Manifest (2018),Make the final connection.,"Drama, Mystery, Sci-Fi & Fantasy",Jeff Rake,2018-09-24,2023-06-02,4,62,Ended,42 min.,Warner Bros. Television,United States of America,"NBC, Netflix",https://image.tmdb.org/t/p/w185/eTemCphrglLKrXOsNRhYezHA7H9.jpg,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.","new york city, time travel, investigation, presumed dead, passengers, airplane flight"
The Gentlemen (2024),A new class of criminal.,"Comedy, Drama, Action & Adventure, Crime",Guy Ritchie,2024-03-07,2024-03-07,1,8,Ended,unknown,Moonage Pictures,"United Kingdom, United States of America",Netflix,https://image.tmdb.org/t/p/w185/tw3tzfXaSpmUZIB8ZNqNEGzMBCy.jpg,"When aristocratic Eddie inherits the family estate, he discovers that it's home to an enormous weed empire — and its proprietors aren't going anywhere.","aristocrat, based on movie"
Supersex (2024),unknown,Drama,Francesca Manieri,2024-03-06,2024-03-06,1,7,Ended,unknown,The Apartment Pictures,Italy,Netflix,https://image.tmdb.org/t/p/w185/biYhOrQVJFprj4NTZtNGhxVCto2.jpg,"Inspired by true events, this is the story of how Rocco Siffredi escaped a humble life and emerged as the world's greatest porn star.",unknown
Star Wars: The Clone Wars (2008),unknown,"Action & Adventure, Animation, Sci-Fi & Fantasy",George Lucas,2008-10-03,2020-05-04,7,133,Ended,25 min.,Lucasfilm Animation,United States of America,"Cartoon Network, Netflix, Disney+",https://image.tmdb.org/t/p/w185/e1nWfnnCVqxS2LeTO3dwGyAsG2V.jpg,"Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",space opera
The Umbrella Academy (2019),Too many siblings. Not enough timeline.,"Action & Adventure, Sci-Fi & Fantasy, Drama",Steve Blackman,2019-02-15,2022-06-22,4,36,Returning Series,unknown,Dark Horse Entertainment,"Canada, United States of America",Netflix,https://image.tmdb.org/t/p/w185/qhcwrnnCnN8NE1N6XXKHFmveJR9.jpg,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.","time travel, superhero, based on comic, dysfunctional family, alternate history, apocalypse, universe, super power, end of world, siblings, children"
Stranger Things (2016),Every ending has a beginning.,"Drama, Sci-Fi & Fantasy, Mystery","Matt Duffer, Ross Duffer",2016-07-15,2022-07-01,4,34,Returning Series,unknown,21 Laps Entertainment,United States of America,Netflix,https://image.tmdb.org/t/p/w185/49WJfeN0moxb9IPfGn8AIqMGskD.jpg,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.","love triangle, skateboarding, sheriff, monster, small town, experiment, halloween, telekinesis, nostalgia, friendship, supernatural, drug scene, coming of age, female protagonist, redemption, cheerleading, evil corporation, psychological thriller, single mother, parallel world, super power, missing person, missing child, computer nerd, government conspiracy, chief of police, family tension, superhero kids, teen drama, 1980s, 80s throwback, supernatural horror, playful, teen romance, horror"
